query	label	table
i want a expensive Lodge for Michael Branch on 3 April near  Infantaria 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark 
i want a expensive Motel for Stephanie Franklin on seventeen September 2034 near Manakula Vinayagar Temple 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-landmark  I-landmark  I-landmark 
i want a cheap homestay for Marie Chavez on 28 December near Mall of Amritsar 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark  I-landmark 
i want a expensive inn for Julia Munoz on 5 March near Ramkrishna Beach 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark 
i want a expensive villam for James Hartman on ninteen October near Indian Institute of Advanced Study 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark  I-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark  I-landmark  I-landmark  I-landmark 
i want a expensive resort for Barbara Parker on two  June near Aga Khan Palace 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark  I-landmark 
i need a cheap Apartment for Kelly Frederick on 18 July in Madurai	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE> B-city_name 
i need a expensive Motel for John Mayer on ninteen March 2075 in Hissar	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE> B-city_name 
i need a expensive Motel for Jacob Henderson on 2 July 2088 in Jabalpur	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE> B-city_name 
i need a expensive resort for Susan Boyd on twenty three August 2074 in Badaun	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  I-day_number  B-month_name B-year  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  I-day_number  B-month_name B-year  <NOTABLE> B-city_name 
i need a cheap lodging for Nicole Cook on 23 March in Cambay	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE> B-city_name 
i need a expensive motel for Kimberly Carrillo on 23 March in Guwahati	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE> B-city_name 
i need a expensive Campsite for Jose Weaver on 25 May in Jorhat	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE> B-city_name 
i need a cheap Motel for Shannon Gordon on sixteen January 2085 in Lucknow	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE> B-city_name 
i need a cheap Chalet for Stacy Greene on thirty one January 2089 in Delhi	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  I-day_number  B-month_name B-year  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  I-day_number  B-month_name B-year  <NOTABLE> B-city_name 
i need a cheap villam for Douglas Miller on ninteen October in Sirsa	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE> B-city_name 
find me a expensive Holiday parks for Michelle Gutierrez on 11 September near Bryant Park 	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark 
find me a expensive Holiday parks for Randall Brown on 12 April 2094 near Sim's Park 	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-landmark  I-landmark 
find me a expensive homestay for Donna Salazar on sixteen August 2032 near Baga Night Market 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-landmark  I-landmark  I-landmark 
find me a expensive Hostel for Micheal Stone on 13 March near Mall De Goa 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark  I-landmark 
find me a cheap lodging for Jessica Clark on 18 November 2015 near Fatehpur Sikri 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-landmark  I-landmark 
find me a expensive Chalet for Jason Osborn on 16 March near Tadoba National Park 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark  I-landmark 
find me a expensive lodging for Brian Stuart on 7 August near Port of Pondicherry 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark  I-landmark 
find me a expensive Hostel for Charlene Holt on 14 April 2041 near Taragarh Fort 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-landmark  I-landmark 
find me a expensive Campsite for Amanda Thompson on 23 April near MG Road 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark 
find me a expensive Campsite for Brandon Acevedo on twenty five June near Bharathi Park 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  I-day_number  B-month_name  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark 
i want a expensive guest house for Bryan Baker on two  December 2087 in Eruvadi	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE> B-city_name 
i want a cheap Guest house for Johnny Little on 1 December in Korba	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE> B-city_name 
i want a expensive homestay for Matthew Lee on 20 May in Munger	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE> B-city_name 
i want a cheap inn for Jennifer Dunn on twenty four December in Mahesana	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  I-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE> B-city_name 
i want a cheap Lodge for Derrick Anderson DDS on twenty four September in Nabarangpur	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  I-person_name  O  B-day_number  I-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  I-person_name  <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE> B-city_name 
i want a expensive Motel for Thomas Valdez on one February in Nagercoil	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE> B-city_name 
i want a cheap homestay for Barbara Kelly on two  February in Rourkela	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE> B-city_name 
i want a expensive lodge for Cynthia Chung on twenty six April in Jhajjar	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  I-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE> B-city_name 
i want a expensive Villa for John Cox on 14 July 2014 in Jamshedpur	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE> B-city_name 
i want a expensive Love hotel for Daniel Silva on 22 May in Palakkad	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE> B-city_name 
look for a expensive Economy hotels for James Hill on six September in Mansa	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE> B-city_name 
look for a cheap villam for Kyle Fitzpatrick on twenty four April in Angul	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  I-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE> B-city_name 
look for a expensive Motel for William Liu on twenty four February 2043 in Rayagada	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  I-day_number  B-month_name B-year  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  I-day_number  B-month_name B-year  <NOTABLE> B-city_name 
look for a expensive Lodge for Scott Bush on twenty three May 2056 in Mumbai	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  I-day_number  B-month_name B-year  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  I-day_number  B-month_name B-year  <NOTABLE> B-city_name 
look for a expensive villam for Chad Chen on seventeen July in Nandurbar	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE> B-city_name 
look for a cheap Campsite for Andrew Taylor on 20 December 2086 in Adampur	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE> B-city_name 
look for a expensive lodge for Tara Miller on 2 August 2031 in Nagai	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE> B-city_name 
look for a expensive Luxury tents for Patrick Johnson on five August in Porkulam	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE> B-city_name 
look for a cheap lodging for Haley Thompson on twenty five March in Gonda	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  I-day_number  B-month_name  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE> B-city_name 
look for a expensive Country houses for Christina Marsh on 11 July 2014 in Kannur	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE> B-city_name 
i want to stay in a expensive Holiday parks for Amanda Tran on 24 September 2088 near Saibaba Temple 	O O O O O O  B-cost_relative B-hotel_type I-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-landmark  I-landmark 
i want to stay in a expensive Homestay for Christopher Baker on twenty seven April near Shaniwar wada 	O O O O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  I-day_number  B-month_name  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark 
i want to stay in a expensive guest house for Jennifer Bautista PhD on twenty July near Kota Railway Station 	O O O O O O  B-cost_relative B-hotel_type I-hotel_type O  B-person_name  I-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-person_name  I-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark  I-landmark 
i want to stay in a cheap suite for Richard Richardson on eight April near Chittorgarh Fort 	O O O O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark 
i want to stay in a expensive Farm stay for Chase Morales on 17 June near Gateway of India 	O O O O O O  B-cost_relative B-hotel_type I-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark  I-landmark 
i want to stay in a cheap guest house for Bryan Hodges on 31 December near Ambience Mall 	O O O O O O  B-cost_relative B-hotel_type I-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark 
i want to stay in a cheap Resort for Carol Monroe on ninteen April 2038 near Napier Museum 	O O O O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-landmark  I-landmark 
i want to stay in a cheap Guest house for James Casey on nine October 2069 near Koodal Azhagar Temple 	O O O O O O  B-cost_relative B-hotel_type I-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-landmark  I-landmark  I-landmark 
i want to stay in a expensive motel for Christopher Melendez on 30 July near Guwahati Station 	O O O O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark 
