query,type
  Hello    Genie    Show    me    flights    under    4500    Rupees    from    Indore    to    Bikaner  ,flight
  hmmm    i    think    in    this    summer    season    Manali    would    be    good    choice  ,flight
  On    sunday    Air    tickets    from    Chhatrapati    Shivaji    International    Airport    to    London    Gatwick    Airport  ,flight
  this    Mors    Day  ,flight
  please    book    me    a    flight    for    Aishwarya    Niharika    for    Sardar    Vallabhbhai    Patel    International    Airport  ,flight
  Show    me    flights    below    2000    Rupees    that    connect    Florida    to    Ans    directly    for    three    adults    and    one    infant    in    business    class  ,flight
  Get    me    flights    for    2    to    Bali    today  ,flight
  ya    on    christmas  ,flight
  I    want    to    fly    to    Hyderabad    next    month  ,flight
  Book    a    flight    for    Travancore    Solapur    on    21    July    for    Shinchan    Nohara    and    Shizuka    Nobi    in    Economy    Class    with    Air    India  ,flight
  Okay    Find    me    flights    from    Mumbai    to    Tehran    with    Kuwait    Air  ,flight
  Zach    and    Robert    want    to    book    a    flight    toger    to    Latvia    from    Somaliland    on    5    October    at    8    PM  ,flight
  Try    from    Delhi  ,flight
  On    10    06    2018  ,flight
  this    Mors    Day  ,flight
  Show    flight    to    Hyderabad    next    month  ,flight
  Show    me    flights    from    Indore    that    reaches    Bangalore    within    5    hours    on    24    May  ,flight
  i    want    a    flight    from    Atlanta  ,flight
  Also    arrange    return    flight    on    26    April    to    singapore    at    late    night  ,flight
  Search    for    air    tickets    from    Berlin  ,flight
  Air    tickets    from    Chhatrapati    Shivaji    International    Airport    to    London    Gatwick    Airport  ,flight
  Find    flights    for    Mayushi    Shinaii    from    Tokyo    to    New    York    on    8    July    in    Premium    Economy  ,flight
  For    Amritsar    book    me    flight    in    premium    economy    for    Drake    Jones    and    I    on    12    September    and    a    return    flight    on    15    September    with    Jet    Airways    in    business    class  ,flight
  book    flights    ticket    in    mysore    shimla    flight    on    09    09    18    for    2    adult    and    2    children    in    economy  ,flight
  i    want    to    fly    from    Indiana    Bloomington  ,flight
  book    7    flight    tickets    in    bhilai    raipur    on    03    05    18    for    2    friends  ,flight
  21    January    and    28    January  ,flight
  Next    sunday    I    want    to    fly    to    BOM  ,flight
  Book    a    flight    for    Kim    Jong    Un    on    21    August    to    Beijing    from    Pyongyang    in    First    Class    with    Air    China  ,flight
  Diwali  ,flight
  Search    for    flight    from    Berlin  ,flight
  Larry    Fink    is    going    to    book    a    flight    for    Allama    Iqbal    International    Airport  ,flight
  Can    you    find    flights    with    Air    Canada  ,flight
  Get    me    Air    Asia    to    Goa    for    2    people    on    4    May  ,flight
  Find    me    flights    that    have    direct    route    for    Lancashire    from    Philadelphia    for    my    cousin    Nicolai    and    I    on    28    September  ,flight
  book    a    flight    to    america    from    new    delhi    on    19    10    19    afternoon  ,flight
  from    raipur    to    jabalpur    on    06    06    2018  ,flight
  Track    flight    price    for    Indore    Singapore    flight  ,flight
  Okay    Show    me    list    of    available    airlines  ,flight
  thursday    would    be    better    if    cheaper    options    are    available  ,flight
  My    two    sisters    and    I    want    a    Cardiff    Aberdeen    flight    on    St    Patrick    s    Day    and    a    return    flight    one    week    later  ,flight
  Book    candlelight    dinner    at    Taj    Westland    for    office    friend    aar    azad    shah    on    friday  ,flight
  I    want    a    flight    from    Indore    to    Hyderabad    next    to    next    week  ,flight
  Book    earliest    flight    to    singapore    today  ,flight
  hey    genie    book    a    flight    for    devi    ahilya    bai    Airport    from    rajeev    gandhi    Airport  ,flight
  i    want    to    depart    on    21    June    and    return    on    26    June  ,flight
  Show    flights    for    Abdullahi    Yusuf    International    Airport    from    Abu    Dhabi    for    Roald    Dahl    in    business    Class    on    21    April  ,flight
  3    rd    friday  ,flight
  look    for    next    to    next    monday    and    return    on    saturday  ,flight
  Malabo    to    Bujumbura  ,flight
  Get    air    tickets    that    takes    5    hrs    to    reach    Cochin    International    Airport    from    Seeb    International    Airport    today  ,flight
  Look    for    flight    to    DEL  ,flight
  book    flights    to    dehradun    from    gwalior    on    08    08    18    for    krishna    pal    and    arjun    ram    pal    in    business    class  ,flight
  Show    me    flights    from    IDR    that    reaches    BLR    within    5    hours    on    24    May  ,flight
  Show    flights    that    have    direct    route    to    Liverpool    from    Blackpool    for    2    infants    and    a    single    adult    in    Premium    Economy  ,flight
  can    you    find    me    ooty    shimla    flight    for    3    adults    on    5    August    and    return    flight    on    9    August  ,flight
  Hey    Genie    !    Find    quickest    flights    to    Auckland    from    Melbourne    for    Martha    Stacy    June    and    Beth    on    8    July    in    Business    Class    and    a    return    flight    on    10    July  ,flight
  find    me    flights    from    new    hampshire    to    frankfurt    for    three    adults    on    4    August  ,flight
  Book    a    flight    for    Max    Payne    on    21    July    in    Business    Class    and    a    return    flight    on    24    August  ,flight
  For    Bruce    Wayne    find    flights    to    Gotham    from    Hong    Kong    on    9    July    in    Business    Class  ,flight
  After    that    book    ticket    to    Paris    also    after    2    days  ,flight
  Book    a    flight    to    Gandhinagar    from    Paris    in    First    class    on    19    September    with    Qatar    Airlines    for    two    adults    and    one    child    between    3060    and    5200    rupees  ,flight
  i    want    to    travel    with    wow    airways    from    dubai  ,flight
  Get    a    flight    to    Hyderabad    next    month  ,flight
  On    27    April    Find    me    low    cost    flight    from    BOM    to    LHR  ,flight
  book    flights    to    banaras    on    23    09    2018    for    9    adults    from    dumdum    Airport    and    having    departure    date    on    13    03    18  ,flight
  book    me    a    flight    to    indore    from    mumbai  ,flight
  3    people  ,flight
  After    a    week    of    vacation    in    Paris  ,flight
  I    need    to    make    a    plane    reservation  ,flight
  Find    flights    that    have    no    stops    between    Buenos    Aires    and    Caracas    and    are    below    48963    pesos    in    economy    class  ,flight
  This    Diwali  ,flight
  book    flight    with    emirates    for    4    from    Dubai  ,flight
  kiev    to    doha  ,flight
  andaman    nicobar  ,flight
  this    Mors    Day  ,flight
  Peru  ,flight
  29    February  ,flight
  Check    fastest    flights    to    mumbai    this    diwali  ,flight
  today  ,flight
  Show    cheapest    flights    to    Brisbane    from    Ottawa    for    Justin    Tredeau    and    his    three    children    on    18    November    with    Canadian    Airlines    in    Business    Class  ,flight
  Mumbai    to    Chicago  ,flight
  On    day    following    diwali    Book    flight    to    Mumbai    under    4000  ,flight
  this    Mors    Day  ,flight
  Get    me    flights    for    2    people    to    Bali  ,flight
  I    want    to    Book    an    economy    flight    for    Seoul    from    Derby    for    my    wife    and    I    on    7th    of    July    in    premium    economy    British    Airways  ,flight
  For    Margot    Robbie    book    a    flight    to    Perth    from    Los    Angeles    on    6    April    in    Business    Class    and    a    return    flight    on    4    May  ,flight
  find    me    flights    that    have    direct    route    for    Lancashire    from    Philadelphia    for    my    cousins    and    I    on    28    September  ,flight
  Can    you    show    me    available    flights    from    Mumbai    to    Bangkok    with    6    stops  ,flight
  i    want    flight    for    Ras    Al    Khaimah    International    Airport    for    Mario    Draghi    and    Elon    Musk  ,flight
  Book    a    flight    for    me  ,flight
  For    Gandhinagar    Silvassa    find    me    quickest    flights    with    3    stops    for    George    Orwell    on    21    December    in    Economy  ,flight
  book    round    trip    flight    tickets    in    jabalpur    katmandu    having    departure    date    on    23    03    18    and    arrival    date    on    30    03    18  ,flight
  Show    flights    from    Tahiti    to    Honduras    for    Joshua    Isaac    next    friday  ,flight
  Show    direct    plane    to    BLR  ,flight
  Flight    that    reaches    Bangalore    under    5    hours    with    1    stop  ,flight
  next    friday  ,flight
  Find    flights    under    range    of    6935    Dollars    from    Omaha    to    Salt    Lake    City    for    2    adults    and    1    infant    in    Economy    Class  ,flight
  Can    you    show    me    flights    to    Nanjing    from    Beijing    for    Mao    Zedong    and    Chiang    Kai    Shek    on    18    September    with    China    Eastern    Airlines    in    Business    Class  ,flight
  Find    flights    for    Malgaon    from    Colombo    for    Hardik    Tiwari    on    8    June    with    Sri    Lankan    Airlines    and    a    return    flight    on    18    June  ,flight
  book    me    a    flight    for    travancore    solapur    on    21    July    for    two    adults    and    one    child  ,flight
  I    have    flight    to    Bhubaneswar    for    Hillary    for    Biju    Patnaik    Airport    in    Premium    Economy    Class    on    sunday  ,flight
  Jet    Airways  ,flight
  book    me    economy    class    ticket    flight    pune    to    indore    20    July    2018    and    business    class    from    indore    to    pune    on    10    July    2018  ,flight
  Show    flights    between    madurai    ludhiana    for    salman    jaju    and    elex    on    12    12    18    under    budget    of    20000  ,flight
  Yes    Book    me    a    flight    today    from    New    York    to    Salt    Lake    City    Utah  ,flight
  i    am    planning    a    trip    to    vienna    with    3    of    my    friends  ,flight
  hey    cancel    my    flight    ticket  ,flight
  Book    me    an    afternoon    flight    with    3    stops  ,flight
  ganesh    dass    wants    to    fly    new    york  ,flight
  Find    flights    to    Aristotle    Airport    from    Cannes    in    Premium    economy    for    Oedipus    Salazar    with    3    stops  ,flight
  Can    you    book    Indigo    to    BLR    for    me  ,flight
  next    friday  ,flight
  2    ticket    for    mumbai    delhi    flight    on    26    Feb    in    first    class  ,flight
  I    would    prefer    8    30    am    flight  ,flight
  On    day    following    diwali    Book    5    flight    tickets    to    Mumbai    costing    more    than    400  ,flight
  Find    flights    for    Ronald    Reagan    Airport    from    Robin    Hood    Airport    for    Andrej    Kaparthy    in    Business    Class    on    15    January  ,flight
  Mumbai  ,flight
  Do    you    have    any    specific    price    range    in    mind  ,flight
  Book    a    flight    to    Edo    from    Kyoto    for    Shogun    Tokugawa    and    Oda    Nobunaga    on    12    June    in    Business    Class  ,flight
  Find    a    flight    from    Indore    that    reaches    Bangalore    within    5    hours    on    24    May  ,flight
  book    a    flight    to    ujjain    from    dewas    for    10    adults    and    2    children    on    12    08    18  ,flight
  book    a    flight    for    4    persons  ,flight
  On    20    April    I    want    to    fly    from    IDR    to    BOM  ,flight
  book    plane    with    emirates    for    4    from    Dubai    today  ,flight
  Hey    Genie    !    find    me    budget    flights    below    36590    Rupees    will    you  ,flight
  Can    you    find    flights    that    have    direct    connectivity    between    Oregon    to    Gurgaon    for    Ricky    Martin  ,flight
  hi    book    flight    to    agra    from    chandigarh    on    03    04    18    in    business    class    with    2    stops  ,flight
  I    will    be    traveling    with    4    people  ,flight
  Can    you    help    me    in    finding    a    flight    from    Hague    to    Bavaria    for    three    adults    below    3000    Rupees  ,flight
  I    want    to    fly  ,flight
  book    flight    with    emirates    for    4    from    Dubai    today  ,flight
  I    want    to    fly    to    perth  ,flight
  hey    gini    book    a    business    class    tickets    from    Bolu    to    Derince  ,flight
  fetch    information    on    nairobi    doha    flights    for    next    week    in    first    class  ,flight
  This    mors    day    I    want    to    fly    from    BER  ,flight
  Look    for    flights    from    IDR    To    NYC    for    Diwali    2019  ,flight
  Search    flight    from    andaman    and    nicobar    island    for    kuldeep    singh    mefawat  ,flight
  With    Air    France    find    flights    that    have    direct    connectivity    from    Lyon    to    Brussels    for    one    adult    and    one    infant  ,flight
  book    a    flight    for    2    person    going    to    west    endies    cities    for    flash    and    anni    mev  ,flight
  Mumbai    to    Jakarta  ,flight
  Can    you    book    me    an    outbound    flight    from    Mumbai    to    Singapore  ,flight
  Show    flights    between    madurai    ludhiana    for    josef    and    dilshan    on    12    12    18    under    budget    of    20000  ,flight
  Search    for    flights    Hanoi    New    Delhi    for    Ho    Chi    Minh    with    VietJet    Airlines    on    12    September    and    a    return    ticket    on    20    September  ,flight
  Diwali  ,flight
  i    would    be    attending    portugal    vs    germany    fifaworld    cup    match    so    can    you    help    me    with    flight    to    moscow  ,flight
  I    need    a    Flight    that    reaches    Bangalore    under    5    hours  ,flight
  Show    Jet    Airways  ,flight
  Jet    Airways  ,flight
  This    Diwali  ,flight
  re    are    four    adults    and    one    child  ,flight
  i    am    in    zhuhai    for    offical    meeting    just    me    give    me    flight    to    djerba    from    zhuhai  ,flight
  could    i    book    flight    for    Bill    and    Hillary    Clinton    National    Airport  ,flight
  Bacha    Khan    Aiport    to    Chinggis    Khan    International    Airport    for    Ingrid    Bergman    in    business    class    next    to    next    tuesday  ,flight
  Book    flights    from    Wonderland    to    Willy    Wonka    s    chocolate    factory    for    Alice    and    Charlie    with    Royal    Airlines    on    21    January  ,flight
  To    Mahabaleshwar    book    me    a    flight    for    John    Coltrane    and    Ronald    Reagan    from    Ooty  ,flight
  Search    for    flight    to    Delhi  ,flight
  Show    me    list    of    cheapest    flights    available    from    Mumbai    to    Moscow  ,flight
  hey    book    a    return    ticket    to    christ    church    just    after    diwali    for    chutki    and    dholu  ,flight
  book    a    flight    to    amsterdam    from    new    york    to    london    on    04    04    16    and    arrival    date    on    07    08    08  ,flight
  Looking    for    a    flight    for    Bill    for    Bill    and    Hillary    Clinton    National    Airport    on    next    monday    morning    in    economy    class  ,flight
  New    Delhi  ,flight
  Book    a    low    cost    airline    ticket    to    Bali  ,flight
  User    enters    PNR    and    flight    details  ,flight
  Hello    Genie    !  ,flight
  For    Vladmir    Putin    book    a    flight    to    Moscow    from    St    Petersburg    with    Aeroloft    in    Business    Class    and    a    return    flight    on    18    July  ,flight
  Can    you    book    a    flight    which    offers    free    meal  ,flight
  Get    me    first    flight    in    day    for    mumbai  ,flight
  book    flight    tickets    for    katmandu    having    departure    date    on    05    05    18    for    sanjay    and    shraddha    and    also    book    tickets    for    return    on    friday  ,flight
  On    day    following    diwali    Book    flight    to    Delhi    that    costs    below    8956  ,flight
  next    friday  ,flight
  I    want    to    fly    for    rakhi  ,flight
  Hey    Genie    !    Book    me    a    flight    from    Mumbai    to    New    York    in    Business    Class  ,flight
  Find    flights    to    Laussane    from    Alaska    in    Alaskan    Airlines    for    two    children    one    infant    and    one    adult    on    24    July  ,flight
  Tel    Aviv  ,flight
  London    on    26    April  ,flight
  Showing    you    flight    from    Indore    to    Delhi    on    27    April    2018  ,flight
  book    round    trip    flight    tickets    in    jabalpur    katmandu    having    arrival    date    on    30    01    18    and    departure    date    on    23    03    18  ,flight
  book    me    a    flight    for    3    people    to    budapest    from    barcelona    by    jet    airways  ,flight
  Bangalore  ,flight
  book    a    flight    from    askaban    ato    lasvegas    for    ajinkya    and    arjun    tiwari    on    23    09    18  ,flight
